"track_id","track_name","track_number","track_popularity","explicit","artist_name","artist_popularity","artist_followers","artist_genres","album_id","album_name","album_release_date","album_total_tracks","album_type","track_duration_min"
" rock,0BHa0ePkvGAVKymB4FU58m,Infest,2000-04-25,13,album,3.33
3fYWwJaPHiNVHt5ZgklGS9,Troubled Waters,3,32,FALSE,Cat Power,53,793066,slowcore"," singer-songwriter,4dZBOO1PjjmtPA974xHMND,The Covers Record,2000-03-21,12,album,3.49
62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye,1,79,FALSE,*NSYNC,69,3088613,N/A,20RMokVwJ2wjQ0s8FOdOFC,No Strings Attached,2000-03-21,12,album,3.34
0h17TpfCKbbib1J37Qgj7r,Alone - Remastered 2000,6,58,FALSE,Heart,67,3005585,classic rock"," aor"," rock,5bOhnWhieBJGivUovmtob5,Greatest Hits 1985-1995,2000-01-01,18,compilation,3.65
0gzqZ9d1jIKo9psEIthwXe,Beautiful Day,1,73,FALSE,U2,75,13593848,rock,7a5U0GPoAvT3gvEY66FRuN,All That You Can't Leave Behind,2000-01-01,12,album,4.14
00suglGfe7WNFpS1YyCTt6,Gortoz A Ran - From Black Hawk Down"",1,49,FALSE,Denez Prigent,39,30106,celtic,79hZbZLkqwAf2FYwB6b7Vd,Irvi,2000-01-01,11,album,5.86
1EsSm8qaR9Wtm1OgZXKi2n,Ho,11,49,TRUE,Ludacris,76,3428625,southern hip hop,2kT80DHqRtHQzDhQ2RCoIV,Back For The First Time,2000-01-01,16,album,2.84
3vNFsxBbA4dPkymPF5Jm1b,This Mess We're In,7,60,FALSE,PJ Harvey,57,1200822,art pop"," singer-songwriter"," alternative rock,0hBWhJEmVyNPG2Jq71CJXz,Stories From The City"," Stories From The Sea,2000-01-01,12,album,3.93
4pbyDPjFgfPqFTcIMC8xpK,Rock DJ,3,70,FALSE,Robbie Williams,71,3314135,N/A,11DmTQm7WPeSXih1FPuaXL,Sing When You're Winning,2000-01-01,13,album,4.3
4YsNfGnCcN4pmg1dJdgno8,blue,1,0,FALSE,dreamy,10,2778,N/A,1uDx6cL35xXqtUxokRRMwZ,blue,1999-12-31,1,single,2.81
0EqtsCvcDjEz6svFsaV5HN,Save Me,9,57,FALSE,Aimee Mann,48,265205,N/A,6jbjx0LGKl11H6UtrgS2nV,Magnolia (Music from the Motion Picture),1999-12-07,13,album,4.57
2p9sprAX27D6U5cuSE9NsM,When I B On Tha Mic,3,61,TRUE,Rakim,55,1017891,east coast hip hop"," old school hip hop"," hip hop,3mvWfqa4cceoGyA7qECPWH,The Master,1999-11-30,17,album,3.71
503OTo2dSqe7qk76rgsbep,Still D.R.E.,4,82,TRUE,Dr. Dre,78,15098281,old school hip hop"," g-funk"," gangster rap"," west coast hip hop"," hip hop"," rap,7q2B4M5EiBkqrlsNW8lB7N,2001,1999-11-16,23,album,4.5
7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,10,78,TRUE,Dr. Dre,78,15085473,old school hip hop"," g-funk"
"0Njbfdqov90zIfAXZl7hIf","HUSH","3","54","FALSE","Ari Abdul","66","754907","dark r&b","6zvckLWDs3GtRAll4b0Cvl","Fallen Angel","2022-10-07","6","single","3.18"
"7gJtmLyPTwKzhGzMBXtuXH","Red","2","57","FALSE","Taylor Swift","100","145489371","country, pop, indie, folk","1KVKqWeRuXsJDLTW0VuD29","Red (Deluxe Edition)","2012-10-22","22","album","3.71"
"6h7BZEKFDFk8YMjgI86rjo","Lose Control","1","3","FALSE","Besomage","50","12548","N/A","2UPi1EJNxmE2pcMuxzDCDi","Lose Control","2024-07-11","1","single","2.42"
"1AdYZ6X00nXmO613Y7GJOl","I Miss You","3","69","FALSE","blink-182","76","9290142","pop punk, punk, rock, skate punk, emo","4hBTxv4QRPePXCFcEI7Vjp","blink-182","2003-11-01","16","album","3.78"
"0dErnwCOJio6gkYfzPUfSa","A Celtic Lore","2","39","FALSE","Adrian Von Ziegler","47","171819","celtic, medieval","4bc12QynMKKIcmnu4Q2sJr","The Celtic Collection","2012-12-12","23","album","3.33"
"4h8VwCb1MTGoLKueQ1WgbD","Wake Me Up","1","9","FALSE","Avicii","79","23434999","edm","1s9tU91VJt4sU5owi29GD3","True","2013-09-13","12","album","4.12"
"6bTbMMEShyGyrcuIwtBlpA","Living Hell","3","62","FALSE","Bella Poarch","60","1409523","N/A","4W8QhTVggLgkJLdsXLLnnz","Dolls EP","2022-08-12","6","single","2.9"
"1XTY6rA7XQosc0ynkkE9kN","Black Friday","1","72","FALSE","Tom Odell","76","4309419","N/A","0BdmqjXLz0L6gF78ldUYHp","Black Friday","2023-09-22","1","single","3.69"
"06JvOZ39sK8D8SqiqfaxDU","True Love","1","71","FALSE","Kanye West","89","31052119","rap","1YA0gAfV91LkDq1DODSCbc","True Love","2022-05-27","1","single","2.47"
